0|23|46|183|183|183|"Wet"|"149035605"|"92047621"
0|0|0|183|183|183|"Wet"|"148913427"|"92022771"
30||61|183|183|183||"148910070"|"92019517"
0|0|0|15|31|46||"148910070"|"92019518"
15|31|46|30||61|"Wet"|"148910070"|"92019519"
30||46|183|183|183||"148913997"|"92023279"
0|0|0|15|23|30||"148913997"|"92023280"
15|23|30|30||46|"Wet"|"148913997"|"92023281"
0|0|0|0|15|30||"148906178"|"92016463"
0|15|30|183|183|183|"Wet"|"148906178"|"92016464"
0|0|0|30|61|91||"149034283"|"92047060"
30|61|91|183|183|183|"Wet"|"149034283"|"92047061"
30||61|183|183|183||"148910894"|"92020372"
0|0|0|15|31|46||"148910894"|"92020373"
15|31|46|30||61|"Wet"|"148910894"|"92020374"
0|0|0|46|54|61||"148904071"|"92014706"
46|54|61|183|183|183|"Wet"|"148904071"|"92014707"
61||91|183|183|183||"148908444"|"92018393"
0|0|0|46|61|76||"148908444"|"92018394"
46|61|76|61||91|"Wet"|"148908444"|"92018395"
0|0|0|0|23|46||"149034271"|"92047046"
0|23|46|183|183|183|"Wet"|"149034271"|"92047047"
46||76|183|183|183||"148909184"|"92018890"
0|0|0|30|46|61||"148909184"|"92018891"
30|46|61|46||76|"Wet"|"148909184"|"92018892"
46||76|183|183|183||"148903413"|"92014086"
0|0|0|30|46|61||"148903413"|"92014087"
30|46|61|46||76|"Wet"|"148903413"|"92014088"
30||46|183|183|183||"148907180"|"92017192"
0|0|0|15|23|30||"148907180"|"92017193"
15|23|30|30||46|"Wet"|"148907180"|"92017194"
61||91|183|183|183||"148904635"|"92015101"
0|0|0|46|61|76||"148904635"|"92015102"
46|61|76|61||91|"Wet"|"148904635"|"92015103"
76||122|183|183|183||"148912075"|"92021540"
0|0|0|61|84|107||"148912075"|"92021541"
61|84|107|76||122|"Wet"|"148912075"|"92021542"
0|0|0|15|31|46||"148909022"|"92018790"
15|31|46|183|183|183|"Wet"|"148909022"|"92018791"
46||76|183|183|183||"148902944"|"92013671"
0|0|0|30|46|61||"148902944"|"92013672"
30|46|61|46||76|"Wet"|"148902944"|"92013673"
61||91|183|183|183||"148908072"|"92018049"
0|0|0|46|61|76||"148908072"|"92018050"
46|61|76|61||91|"Wet"|"148908072"|"92018051"
0|0|0|183|183|183|"Wet"|"148906152"|"92016437"
0|0|0|0|15|30||"148905038"|"92015439"
0|15|30|183|183|183|"Wet"|"148905038"|"92015440"
0|0|0|183|183|183|"Wet"|"148911004"|"92020480"
30||46|183|183|183||"148905984"|"92016362"
0|0|0|15|23|30||"148905984"|"92016363"
15|23|30|30||46|"Wet"|"148905984"|"92016364"
46||76|183|183|183||"148906339"|"92016561"
0|0|0|30|46|61||"148906339"|"92016562"
30|46|61|46||76|"Wet"|"148906339"|"92016563"
0|0|0|183|183|183|"Wet"|"148904199"|"92014762"
30||61|183|183|183||"148913844"|"92023173"
0|0|0|15|31|46||"148913844"|"92023174"
15|31|46|30||61|"Wet"|"148913844"|"92023175"
0|0|0|46|54|61||"148909296"|"92018980"
46|54|61|183|183|183|"Wet"|"148909296"|"92018981"
46||76|183|183|183||"148911417"|"92020955"
0|0|0|30|46|61||"148911417"|"92020956"
30|46|61|46||76|"Wet"|"148911417"|"92020957"
46||76|183|183|183||"148914180"|"92023436"
0|0|0|30|46|61||"148914180"|"92023437"
30|46|61|46||76|"Wet"|"148914180"|"92023438"
0|0|0|183|183|183|"Wet"|"148910456"|"92019842"
46||76|183|183|183||"148905049"|"92015455"
