"Sandy loam"||"80857066"|"82283030"
"Clay loam"||"80855089"|"82281048"
"Loam"||"80856424"|"82282385"
"Sandy loam"||"80858406"|"82284375"
"Silt loam"||"80857225"|"82283189"
"Silt loam"||"80859539"|"82285513"
"Silty clay"||"80856021"|"82281981"
"Silt loam"||"80924222"|"82351557"
"Fine sandy loam"||"80856886"|"82282849"
"Fine sandy loam"||"80858439"|"82284408"
"Loamy sand"||"80856120"|"82282081"
|"Mucky peat"|"80855474"|"82281434"
"Very fine sandy loam"||"80922658"|"82349983"
"Silt loam"||"80861520"|"82287500"
"Fine sandy loam"||"80857780"|"82283748"
"Sandy loam"||"80860696"|"82286672"
"Sandy loam"||"80858257"|"82284226"
"Sandy loam"||"80855828"|"82281788"
|"Unweathered bedrock"|"80855536"|"82281496"
"Fine sandy loam"||"80859841"|"82285816"
"Sand"||"80860316"|"82286292"
"Coarse sand"||"80856804"|"82282767"
|"Unweathered bedrock"|"80856709"|"82282672"
"Silt loam"||"80858163"|"82284132"
"Silty clay loam"||"80858601"|"82284570"
"Fine sand"||"80920839"|"82348118"
"Loam"||"80859948"|"82285923"
"Loam"||"80859521"|"82285495"
"Loamy sand"||"80856231"|"82282192"
|"Unweathered bedrock"|"80856996"|"82282960"
"Coarse sand"||"80859779"|"82285754"
"Fine sandy loam"||"80860602"|"82286578"
"Silt loam"||"80860123"|"82286098"
"Coarse sand"||"80856297"|"82282258"
"Silt loam"||"80861254"|"82287233"
"Fine sandy loam"||"80858007"|"82283976"
"Silt loam"||"80855537"|"82281497"
"Loam"||"80859039"|"82285008"
"Fine sandy loam"||"80858833"|"82284802"
"Loamy fine sand"||"80860389"|"82286365"
"Loamy sand"||"80855226"|"82281186"
"Sandy loam"||"80861214"|"82287192"
"Silt loam"||"80855318"|"82281278"
"Silt loam"||"80861335"|"82287314"
|"Unweathered bedrock"|"80860511"|"82286487"
"Silt loam"||"80860164"|"82286139"
|"Unweathered bedrock"|"80858218"|"82284187"
"Silt loam"||"80924280"|"82351615"
"Loam"||"80857990"|"82283959"
"Fine sandy loam"||"80858893"|"82284862"
"Silt loam"||"80859635"|"82285609"
"Loamy very fine sand"||"80855255"|"82281215"
"Silt loam"||"80859258"|"82285229"
"Coarse sand"||"80857517"|"82283485"
"Coarse sand"||"80856205"|"82282166"
"Loamy sand"||"80857762"|"82283730"
"Loamy sand"||"80860811"|"82286788"
|"Muck"|"80856266"|"82282227"
"Fine sandy loam"||"80923648"|"82350983"
"Silt loam"||"80860238"|"82286213"
"Silt loam"||"80855664"|"82281624"
"Silt loam"||"80856967"|"82282931"
"Sandy loam"||"80860897"|"82286874"
"Loamy fine sand"||"80922669"|"82349994"
"Silt loam"||"80859550"|"82285524"
"Sand"||"80923409"|"82350741"
|"Muck"|"80859959"|"82285934"
"Silty clay loam"||"80856339"|"82282300"
"Silt loam"||"80859988"|"82285963"
"Sandy loam"||"80859072"|"82285041"
"Loamy sand"||"80920898"|"82348178"
"Loamy sand"||"80856941"|"82282905"
"Fine sandy loam"||"80858796"|"82284765"
"Loamy very fine sand"||"80922698"|"82350024"
"Silt loam"||"80859498"|"82285472"
"Fine sandy loam"||"80923953"|"82351288"
"Fine sandy loam"||"80858674"|"82284643"
"Fine sand"||"80854904"|"82280862"
"Silt loam"||"80861666"|"82287646"
|"Muck"|"80856698"|"82282661"
"Silt loam"||"80855453"|"82281413"
|"Unweathered bedrock"|"80856412"|"82282373"
